Title,Year,Authors,GatesAuthors
"""Everybody knows what you're doing"" - a critical design approach to personal informatics.",2013,"Vera D. Khovanskaya, Eric P. S. Baumer, Dan Cosley, Stephen Voida, Geri Gay, ","Dan Cosley, Geri Gay"
"""I lie to myself that i have freedom in my own schedule"" - productivity tools and experiences of busyness.",2011,"Gilly Leshed, Phoebe Sengers, ","Gilly Leshed, Phoebe Sengers"
A brief overview of the NEBULA future internet architecture.,2014,"Tom Anderson, Ken Birman, Robert M. Broberg, Matthew Caesar, Douglas Comer, Chase Cotton, Michael J. Freedman, Andreas Haeberlen, Zachary G. Ives, Arvind Krishnamurthy, William Lehr, Boon Thau Loo, David Mazi赤res, Antonio Nicolosi, Jonathan M. Smith, Ion Stoica, Robbert van Renesse, Michael Walfish, Hakim Weatherspoon, Christopher S. Yoo, ","Hakim Weatherspoon, Ken Birman, Robbert van Renesse"
A Coalgebraic Decision Procedure for NetKAT.,2015,"Nate Foster, Dexter Kozen, Matthew Milano, Alexandra Silva 0001, Laure Thompson, ","Dexter Kozen, Nate Foster"
A Collaborative Infrastructure for Scalable and Robust News Delivery.,2002,"Werner Vogels, Christopher R姓, Robbert van Renesse, Kenneth P. Birman, ","Ken Birman, Robbert van Renesse"
A diversified and correct-by-construction broadcast service.,2012,"Vincent Rahli, Nicolas Schiper, Robbert van Renesse, Mark Bickford, Robert L. Constable, ","Robbert van Renesse, Robert Constable"
A fast distributed slicing algorithm.,2008,"Vincent Gramoli, Ymir Vigfusson, Ken Birman, Anne-Marie Kermarrec, Robbert van Renesse, ","Ken Birman, Robbert van Renesse"
A Framework for Protocol Composition in Horus.,1995,"Robbert van Renesse, Kenneth P. Birman, Roy Friedman, Mark Hayden, David A. Karr, ","Ken Birman, Robbert van Renesse"
A Graph-Based Approach Towards Discerning Inherent Structures in a Digital Library of Formal Mathematics.,2004,"Lori Lorigo, Jon M. Kleinberg, Richard Eaton, Robert L. Constable, ","Jon Kleinberg, Robert Constable"
A Measure of Polarization on Social Media Networks Based on Community Boundaries.,2013,"Pedro Henrique Calais Guerra, Wagner Meira Jr., Claire Cardie, Robert Kleinberg, ","Claire Cardie, Robert Kleinberg"
A New Start - Innovative Introductory AI-Centered Courses at Cornell.,2008,"Eric Breck, David A. Easley, K.-Y. Daisy Fan, Jon M. Kleinberg, Lillian Lee, Jennifer Wofford, Ramin Zabih, ","David Easley, Jon Kleinberg, Lillian Lee"
A Probabilistically Correct Leader Election Protocol for Large Groups.,2000,"Indranil Gupta, Robbert van Renesse, Kenneth P. Birman, ","Ken Birman, Robbert van Renesse"
A radiative transfer framework for rendering materials with anisotropic structure.,2010,"Wenzel Jakob, Adam Arbree, Jonathan T. Moon, Kavita Bala, Steve Marschner, ","Kavita Bala, Steve Marschner"
A Scalable Services Architecture.,2006,"Tudor Marian, Ken Birman, Robbert van Renesse, ","Ken Birman, Robbert van Renesse"
A Security Architecture for Fault-Toerant Systems.,1994,"Michael K. Reiter, Kenneth P. Birman, Robbert van Renesse, ","Ken Birman, Robbert van Renesse"
A separability framework for analyzing community structure.,2014,"Bruno D. Abrahao, Sucheta Soundarajan, John E. Hopcroft, Robert D. Kleinberg, ","John Hopcroft, Robert Kleinberg"
A stateless approach to connection-oriented protocols.,2008,"Alan Shieh, Andrew C. Myers, Emin G神n Sirer, ","Andrew Myers, Emin Gun Sirer"
A TACOMA retrospective.,2002,"Dag Johansen, K衰re J. Lauvset, Robbert van Renesse, Fred B. Schneider, Nils P. Sudmann, Kjetil Jacobsen, ","Fred Schneider, Robbert van Renesse"
"A tag in the hand - supporting semantic, social, and spatial navigation in museums.",2009,"Dan Cosley, Jonathan Baxter, Soyoung Lee, Brian Alson, Saeko Nomura, Phil Adams, Chethan Sarabu, Geri Gay, ","Dan Cosley, Geri Gay"
A Transparent Light-Weight Group Service.,1996,"Lu神s E. T. Rodrigues, Katherine Guo, Antonio Sargento, Robbert van Renesse, Bradford B. Glade, Paulo Ver神ssimo, Kenneth P. Birman, ","Ken Birman, Robbert van Renesse"
Accurately interpreting clickthrough data as implicit feedback.,2005,"Thorsten Joachims, Laura A. Granka, Bing Pan, Helene Hembrooke, Geri Gay, ","Geri Gay, Thorsten Joachims "
Active and passive techniques for group size estimation in large-scale and dynamic distributed systems.,2007,"Dionysios Kostoulas, Dimitrios Psaltoulis, Indranil Gupta, Kenneth P. Birman, Alan J. Demers, ","Alan Demers, Ken Birman"
Adding High Availability and Autonomic Behavior to Web Services.,2004,"Kenneth P. Birman, Robbert van Renesse, Werner Vogels, ","Ken Birman, Robbert van Renesse"
Adversarial Deep Averaging Networks for Cross-Lingual Sentiment Classification.,2016,"Xilun Chen, Ben Athiwaratkun, Yu Sun, Kilian Q. Weinberger, Claire Cardie, ","Claire Cardie, Kilian Weinberger"
Affective presence in museums - Ambient systems for creative expression.,2005,"Kirsten Boehner, Phoebe Sengers, Geri Gay, ","Geri Gay, Phoebe Sengers"
An analysis of Facebook photo caching.,2013,"Qi Huang, Ken Birman, Robbert van Renesse, Wyatt Lloyd, Sanjeev Kumar, Harry C. Li, ","Ken Birman, Robbert van Renesse"
An Evaluation of Checkpoint Recovery for Massively Multiplayer Online Games.,2009,"Marcos Antonio Vaz Salles, Tuan Cao, Benjamin Sowell, Alan J. Demers, Johannes Gehrke, Christoph Koch 0001, Walker M. White, ","Alan Demers, Walker White"
Application-driven TCP recovery and non-stop BGP.,2013,"Robert Surton, Ken Birman, Robbert van Renesse, ","Ken Birman, Robbert van Renesse"
APSS - proactive secret sharing in asynchronous systems.,2005,"Lidong Zhou, Fred B. Schneider, Robbert van Renesse, ","Fred Schneider, Robbert van Renesse"
ArtLinks - fostering social awareness and reflection in museums.,2008,"Dan Cosley, Joel Lewenstein, Andrew Herman, Jenna Holloway, Jonathan Baxter, Saeko Nomura, Kirsten Boehner, Geri Gay, ","Dan Cosley, Geri Gay"
"Astrolabe - A robust and scalable technology for distributed system monitoring, management, and data mining.",2003,"Robbert van Renesse, Kenneth P. Birman, Werner Vogels, ","Ken Birman, Robbert van Renesse"
Automatic detection of social rhythms in bipolar disorder.,2016,"Saeed Abdullah, Mark Matthews, Ellen Frank, Gavin Doherty, Geri Gay, Tanzeem Choudhury, ","Geri Gay, Tanzeem Choudhury"
Behavioral Mechanism Design - Optimal Contests for Simple Agents.,2014,"Arpita Ghosh, Robert Kleinberg, ","Arpita Ghosh, Robert Kleinberg"
Behavioral Mechanism Design - Optimal Crowdsourcing Contracts and Prospect Theory.,2015,"David Easley, Arpita Ghosh, ","Arpita Ghosh, David Easley"
Behavioral Simulations in MapReduce.,2010,"Guozhang Wang, Marcos Antonio Vaz Salles, Benjamin Sowell, Xun Wang, Tuan Cao, Alan J. Demers, Johannes Gehrke, Walker M. White, ","Alan Demers, Walker White"
Belief in Information Flow.,2005,"Michael R. Clarkson, Andrew C. Myers, Fred B. Schneider, ","Andrew Myers, Fred Schneider, Michael Clarkson"
"Better scripts, better games.",2009,"Walker M. White, Christoph Koch 0001, Johannes Gehrke, Alan J. Demers, ","Alan Demers, Walker White"
"Better Scripts, Better Games.",2008,"Walker M. White, Christoph Koch 0001, Johannes Gehrke, Alan J. Demers, ","Alan Demers, Walker White"
Beyond Power Proportionality - Designing Power-Lean Cloud Storage.,2011,"Lakshmi Ganesh, Hakim Weatherspoon, Ken Birman, ","Hakim Weatherspoon, Ken Birman"
Biological rhythms and technology.,2014,"Mark Matthews, Erin H. C. Carroll, Saeed Abdullah, Jaime Snyder, Matthew Kay, Tanzeem Choudhury, Geri Gay, Julie A. Kientz, ","Geri Gay, Tanzeem Choudhury"
Bitcoin-NG - A Scalable Blockchain Protocol.,2015,"Ittay Eyal, Adem Efe Gencer, Emin G神n Sirer, Robbert van Renesse, ","Emin Gun Sirer, Robbert van Renesse"
Building a Secure and Privacy-Preserving Smart Grid.,2015,"Ken Birman, M錐rk Jelasity, Robert Kleinberg, Edward Tremel, ","Ken Birman, Robert Kleinberg"
Building Adaptive Systems Using Ensemble.,1998,"Robbert van Renesse, Kenneth P. Birman, Mark Hayden, Alexey Vaysburd, David A. Karr, ","Ken Birman, Robbert van Renesse"
"Building reliable, high-performance communication systems from components.",1999,"Xiaoming Liu 0003, Christoph Kreitz, Robbert van Renesse, Jason Hickey, Mark Hayden, Kenneth P. Birman, Robert L. Constable, ","Ken Birman, Robbert van Renesse, Robert Constable"
Building volumetric appearance models of fabric using micro CT imaging.,2011,"Shuang Zhao, Wenzel Jakob, Steve Marschner, Kavita Bala, ","Kavita Bala, Steve Marschner"
Cache Serializability - Reducing Inconsistency in Edge Transactions.,2015,"Ittay Eyal, Ken Birman, Robbert van Renesse, ","Ken Birman, Robbert van Renesse"
Cantor meets Scott - Domain-Theoretic Foundations for Probabilistic Network Programming.,2016,"Steffen Smolka, Praveen Kumar, Nate Foster, Dexter Kozen, Alexandra Silva 0001, ","Dexter Kozen, Nate Foster"
Cantor meets scott - semantic foundations for probabilistic networks.,2017,"Steffen Smolka, Praveen Kumar, Nate Foster, Dexter Kozen, Alexandra Silva 0001, ","Dexter Kozen, Nate Foster"
Cats and Captions vs. Creators and the Clock - Comparing Multimodal Content to Context in Predicting Relative Popularity.,2017,"Jack Hessel, Lillian Lee, David M. Mimno, ","David Mimno, Lillian Lee"
Cayuga - A General Purpose Event Monitoring System.,2007,"Alan J. Demers, Johannes Gehrke, Biswanath Panda, Mirek Riedewald, Varun Sharma, Walker M. White, ","Alan Demers, Walker White"
Cayuga - a high-performance event processing engine.,2007,"Lars Brenna, Alan J. Demers, Johannes Gehrke, Mingsheng Hong, Joel Ossher, Biswanath Panda, Mirek Riedewald, Mohit Thatte, Walker M. White, ","Alan Demers, Walker White"
Certified In-lined Reference Monitoring on .NET.,2006,"Kevin W. Hamlen, Greg Morrisett, Fred B. Schneider, ","Fred Schneider, Greg Morrisett"
Chain Replication for Supporting High Throughput and Availability.,2004,"Robbert van Renesse, Fred B. Schneider, ","Fred Schneider, Robbert van Renesse"
