id,pfName,department,url,interest,room
r411A,Adrian Sampson," Computer Science, CS Field Member",https://www.cs.cornell.edu/sites/default/files/styles/icon-100x100/public/Sampson%2C%20Adrian.jpg?itok=mvum-SLX,"Computer Architecture & VLSI, Programming Languages ",411A
r450,Alan Demers," Computer Science, CS Field Member",https://www.cs.cornell.edu/sites/default/files/styles/icon-100x100/public/Demers%2C%20ALan.jpg?itok=ZxW4V2Kv,Database Systems,450
r428,Andrew Myers," Computer Science, CS Field Member",https://www.cs.cornell.edu/sites/default/files/styles/icon-100x100/public/Myers%2C%20Andrew.jpg?itok=_1Lp8MQb," RProgramming Languages, Security, Systems and Networking ",428
r452,Anne Bracy, Computer Science,https://www.cs.cornell.edu/sites/default/files/styles/icon-100x100/public/Bracy%2C%20Anne.jpg?itok=KQxVKnbp,Computer Architecture & VLSI,452
r206,Arpita Ghosh,"Information Science, CS Field Member",http://infosci.cornell.edu/sites/infosci/files/styles/300_square/public/Arpita2%20crop.jpg?itok=g7i_Z4h4," Algorithms and mechanism design in the context of the web, particularly online advertising, social computing and user-generated content, and matching markets,  Research Areas:  Artificial Intelligence, Human Interaction ",206
r353,Carla Gomes,"Computer Science, Information Science, CIS and Applied Economics and Management",http://infosci.cornell.edu/sites/infosci/files/styles/300_square/public/carlagomescrop.jpg?itok=-c63xo1h," Combinatorial problems, with an emphasis on planning and scheduling problems, combining techniques from Computer Science, Artificial Intelligence, and Operations Research,  Artificial Intelligence, Computational Biology  ",353
r423,Charles Van Loan," Computer Science, CS Field Member Dean of Faculty John C. Ford Professor of Engineering",https://www.cs.cornell.edu/sites/default/files/styles/icon-100x100/public/Van%20Loan%2C%20Charles.jpg?itok=v78RUVqw,Scientific Computing,423
r417,Claire Cardie,"Computer Science, Information Science, CS Field Member Director of Undergraduate Studies",http://infosci.cornell.edu/sites/infosci/files/styles/300_square/public/ClaireC2.jpg?itok=SjQ0wMRl," Artificial Intelligence, Human Interaction. Natural language processing including opinion and argument extraction, and the use of natural language processing in computational-social systems. ",417
r209,Cristian Danescu-Niculescu-Mizil,"Information Science,  CS Field Member",http://infosci.cornell.edu/sites/infosci/files/styles/300_square/public/CristianDNM%20large.jpg?itok=1NaKbwIz,"  Artificial Intelligence, Human Interaction. Computational Social Science, Social Computing, Computational Linguistics, Natural Language Processing ",209
r244,Dan Cosley,"Information Science, CS Field Member",http://infosci.cornell.edu/sites/infosci/files/styles/300_square/public/DanCo1.jpg?itok=GtSBrlg4," Human-computer interaction, online communities, and recommender systems ",244
r435,David Bindel," Computer Science, CS Field Member",https://www.cs.cornell.edu/sites/default/files/styles/icon-100x100/public/Bindel%2C%20David.jpg?itok=nbEZ0jRD,Scientific Computing,435
r227,David Easley,"Economics, Information Science",http://infosci.cornell.edu/sites/infosci/files/styles/300_square/public/davideasleycrop.jpg?itok=LZF3Yt0m,Economics of information; learning from endogenous data; market microstructure; evolution in games and markets,227
r205,David Mimno,"Information Science, CS Field Member",http://infosci.cornell.edu/sites/infosci/files/styles/300_square/public/David%20Mimno_001Crop.jpg?itok=0wUmraPU," Artificial Intelligence, Human Interaction, Machine learning, text mining, digital humanities ",205
r319,David Steurer," Computer Science, CS Field Member",https://www.cs.cornell.edu/sites/default/files/styles/icon-100x100/public/Steurer%2C%20David.jpg?itok=vKfn8QFI,Theory of Computing,319
r436,Dexter Kozen," Computer Science, CS Field Member Director of Masters of Engineering Program Joseph Newton Pew, Jr. Professor in Engineering",https://www.cs.cornell.edu/sites/default/files/styles/icon-100x100/public/Kozen%2C%20Dexter.jpg?itok=dSi78BWy,"Programming Languages, Security, Theory of Computing ",436
r437,Elaine Shi," Computer Science, CS Field Member",https://www.cs.cornell.edu/sites/default/files/styles/icon-100x100/public/Shi%2C%20Elaine.jpg?itok=ZkWafdwi,"Security, Theory of Computing ",437
r438,Emin Gun Sirer," Computer Science, CS Field Member",https://www.cs.cornell.edu/sites/default/files/styles/icon-100x100/public/Sirer%2C%20Emin%20Gun.png?itok=6GCd1Lob,"Security, Systems and Networking ",438
r445,Erik  Andersen,"Computer Science, CS Field Member",http://infosci.cornell.edu/sites/infosci/files/styles/300_square/public/erik_headshot_smily.jpg?itok=0DYmJv5b," Educational technology, human-computer interaction, video games, programming languages, Human Interaction, Programming Languages",445
